SYMBOL	logFC	logCPM	PValue	FDR	tests	ENTREZID
ATP5G1	2.0319868463240205	6.307876199318305	7.278673193148418e-180	2.382974310626417e-177	1	NA
UNC5D	-2.685297330043063	5.116121943892503	3.4996705583279593e-178	1.121383800179129e-175	-1	137970
FGL1	-2.5488249484936967	5.2806856023389415	4.643441973230298e-171	1.456879919101006e-168	-1	2267
SEPT7	1.4081084520603144	7.236065106410967	6.594174086297723e-168	2.026699219176402e-165	1	NA
COL18A1	2.117203070442167	5.989186999486835	7.778934181512908e-168	2.3430149754716877e-165	1	80781
EPHA3	-1.2622479741146808	7.372080447710622	1.750732105399974e-167	5.169808923004629e-165	-1	2042
PLAU	1.9168959769757257	6.048575431606964	4.711232551071315e-167	1.3644454272910387e-164	1	5328
JAG1	1.1683038939685526	7.889870834896296	1.6664642513298528e-165	4.735273891514638e-163	1	182
PLOD2	1.150436155113983	8.206632650027233	1.0678129883707926e-164	2.978011778678544e-162	1	5352
CES1	-6.646267509233679	3.441010925506652	2.6495501232977997e-164	7.25494997397543e-162	-1	1066
EPB41L1	-1.5393041429911063	6.48006804539883	3.51584351542253e-164	9.455107739689874e-162	-1	2036
S100P	-4.0702015464884385	4.058118008905832	2.086815937654668e-160	5.513587372119175e-158	-1	6286
KRT10	-1.7244997819715666	6.155204398591694	1.6249810483674736e-158	4.219347342830026e-156	-1	3858
PLK2	1.192525566497775	7.650820632697516	1.6598293075846706e-158	4.236784639360193e-156	1	10769
LOXL2	1.7279520869142422	6.436324666017677	2.6560667364540937e-157	6.666727508499775e-155	1	4017
MGLL	-1.926836573086198	6.0995015180966545	7.531599256404482e-156	1.8594407344500244e-153	-1	11343
MYOF	1.0438340974451936	8.611434006296731	7.195900290111954e-153	1.7479073930497746e-150	1	26509
MSMO1	-1.1512386547311497	7.465644396719335	5.39510571116155e-151	1.28968717476338e-148	-1	6307
IL18	-1.359174566284872	6.700732319620156	9.335728925323713e-149	2.1968137127402363e-146	-1	3606
COL12A1	1.5873799677420244	6.517965391468632	1.5375209116548211e-146	3.5623176814648625e-144	1	1303
SLC16A4	-1.0352395430133479	8.517319848258568	1.1596799017955783e-145	2.6461786850062743e-143	-1	9122
ERRFI1	-1.02098210819994	8.16180493101842	4.502365468476139e-145	1.0120242381380695e-142	-1	54206
IDH1	-1.041831496766376	8.305024735065414	1.6402954035713526e-144	3.632771879085966e-142	-1	3417
PDE3A	-1.476275770649764	6.439039535846523	1.5512511089479266e-142	3.3857741595298226e-140	-1	5139
MORC4	1.2269865034911804	7.216718472819731	1.9334378590423027e-138	4.1596534510252966e-136	1	79710
GLP2R	-1.4617980196392197	6.312972282424928	2.5955398895415655e-137	5.505469117816335e-135	-1	9340
KIRREL	1.2204645733772213	7.238862528855887	3.8362778587790324e-137	8.024214521279476e-135	1	NA
FRMD4A	1.3168039295566047	6.853073464711801	2.7183423197564907e-136	5.607977443223664e-134	1	55691
RSL24D1	1.1356480106486564	7.644703705228649	1.1831824921779723e-134	2.4079362611081437e-132	1	51187
CD46	-0.9470074730758159	8.580434331049956	2.5496856162513067e-133	5.119768717432625e-131	-1	4179
ANXA1	-0.8742605068775544	10.243692632889811	3.7501853987260594e-133	7.431288434844007e-131	-1	301
MAPK6	1.116389008107527	7.586607244428907	3.655998633991261e-132	7.150563562066025e-130	1	5597
HAS3	2.6173545408099192	4.8953755262988405	1.0236230893199052e-126	1.976379964763817e-124	1	3038
TBL1XR1	1.1531643029867857	7.490953728952155	3.0531383490571944e-125	5.820286523645741e-123	1	79718
IDI1	-1.054499881036015	7.650265698155474	9.000501553980672e-125	1.6943444175368616e-122	-1	3422
COL6A1	2.7308535394182076	4.6859202812091985	2.605328451420286e-121	4.843981046714754e-119	1	1291
RTN4RL2	-0.9942371305389679	8.355567193661631	4.192304750323282e-121	7.699525553642515e-119	-1	349667
HPD	-3.2536521839315977	4.002999439854655	7.163081103508948e-121	1.2842381121291042e-118	-1	3242
WASF2	-1.2773680633919933	6.8091800572428856	7.124842616768477e-121	1.2842381121291042e-118	-1	10163
SLC7A2	-0.9837074653186025	7.9944381432797185	9.1161644608425293e-120	1.6151698444739824e-117	-1	6542
DHCR24	-1.0607529657228858	7.233351336799582	3.40663547895986e-119	5.965573292225057e-117	-1	1718
HSPA2	-1.3965793212097064	6.174901664602598	8.453443012437114e-119	1.4633201352563555e-116	-1	3306
CDC37	-1.1782288520689574	6.968361549229364	8.243212073774109e-116	1.410713338989069e-113	-1	11140
EPHB2	3.1083661416021107	4.849737900741692	1.4755148566933831e-115	2.4967700833485786e-113	1	2048
TGFB1	1.04174969034819	7.630297421301867	2.4655121556089007e-111	4.1256236737188942e-109	1	7040
LPCAT1	1.133520988085099	7.070010663452742	1.0119013586805523e-110	1.6746411496405622e-108	1	79888
COL3A1	1.0763463528503256	7.583070119976147	3.967809502382278e-110	6.4951316419431635e-108	1	1281
HAVCR1	0.9336970404722783	7.857548228793782	3.4054358679194567e-109	5.514609050630862e-107	1	26762
CA12	1.2031017864988813	7.080612907609969	4.2883699658227375e-109	6.870516136733024e-107	1	771
DUSP4	-1.0030388049764623	7.29148918274405	5.30103600132257e-109	8.403537071570304e-107	-1	1846
KDM5B	-0.8921944251135864	8.10153033017377	4.33493319416145e-108	6.800426448340774e-106	-1	10765
MAFK	-1.1888097541903893	6.66111866402023	9.016760866074737e-107	1.3999218416812942e-104	-1	7975
TNFRSF21	-0.9652998149045858	7.3698256624432155	1.6558990368154299e-106	2.544677499432691e-104	-1	27242
TFPI2	-0.8118151124114495	9.153616277524018	6.893176136008178e-106	1.0485983091745774e-103	-1	7980
ASB4	-1.2777097152278232	6.545773690733304	1.7439858975556176e-105	2.62644276171876e-103	-1	51666
GPX2	-2.487097151451552	4.4598922941616435	2.7890275842843775e-105	4.158688655378487e-103	-1	2877
TM4SF4	-3.771334554158566	3.671170921564173	6.339449433141007e-104	9.360010633637605e-102	-1	7104
DPYSL3	5.07092812173172	4.437417299200096	4.2919051927642225e-103	6.27534875757565e-101	1	1809
ELF3	-1.5411859541704016	5.745953271158798	3.104676917261668e-102	4.4958109974962234e-100	-1	1999
RBMS2	1.1829888020102077	6.800983009484908	3.846500120355854e-102	5.516980172624682e-100	1	5939
SOAT1	-1.0240937594594732	7.340091277727074	6.6311969643517815e-102	9.421304366333757e-100	-1	6646
TMSB4X	-0.8192204596831922	8.856641368781846	9.94822953757762e-102	1.4001900638870929e-99	-1	7114
CCND1	-0.8103182842816511	8.832039240899888	2.8497175629095017e-100	3.973772823834916e-98	-1	595
CYB5B	-0.8531952284645733	8.378591373643518	4.565773853825698e-100	6.308307728313305e-98	-1	80777
RASSF2	1.7417905469247632	5.980264254824414	7.548606243689535e-100	1.0334728184542219e-97	1	9770
ID3	-0.9861174832464921	7.386170864240952	1.5573315641036436e-99	2.1129201221081868e-97	-1	3399
ITPK1	1.7335847359186385	5.941076597298406	5.080675574759982e-98	6.831694121061191e-96	1	3705
FDFT1	-0.8721198638580042	7.873420820879064	6.435918879042238e-98	8.577428169767797e-96	-1	2222
C3	-2.011600129178377	4.796181533649541	3.1999596563250326e-97	4.227315124934649e-95	-1	718
FOXC1	-1.7091062328526223	5.2015683051410875	9.425173746714647e-97	1.234287970656718e-94	-1	2296
CKB	0.9710468256109616	7.3881546988530475	1.1946017199661385e-96	1.5509225778181072e-94	1	1152
DUSP16	-0.9258134222147546	7.433614670409652	2.35214139805907e-96	3.027628158527316e-94	-1	80824
C8orf4	-2.7417208433414997	3.9120931009000333	3.806068067986073e-96	4.857575008802564e-94	-1	NA
TGFB2	1.7744567763841776	5.3529524396677415	1.7413389834128882e-95	2.2037449655628654e-93	1	7042
PLEKHH2	-2.208225550859228	4.462384568583644	3.895720040679788e-95	4.889128651053134e-93	-1	130271
CDKN1B	-1.355435356241636	6.199527234235862	6.151402780314863e-94	7.656208749714201e-92	-1	1027
TUBB3	1.1978107589393818	6.613804969084704	1.3668006060703824e-93	1.68721451864098e-91	1	10381
SRGN	-0.8788904761154012	7.714299159500241	3.284061373125145e-93	4.020972705631275e-91	-1	5552
CAV2	1.7815336522164444	5.73327203478209	4.954988263319996e-93	6.017913164967672e-91	1	858
TMTC3	1.0385052972481932	7.207560719516543	6.448791791745381e-93	7.769504350694835e-91	1	160418
KRT80	0.9578334421348191	7.511615374240119	1.0262348089319664e-92	1.2265949382948741e-90	1	144501
KLF5	-1.1300584829734073	6.747526663877867	1.4196452095366161e-92	1.6834532957182234e-90	-1	688
JUP	-1.1096093256293325	6.579613475433718	1.5929565445302737e-92	1.8742129344239e-90	-1	3728
CDH4	3.7163324290798236	3.811434613049763	1.3432390375310845e-91	1.5681534810246615e-89	1	1002
ACSL4	-0.8557186471028666	7.900563619425753	1.9566779002795423e-91	2.2667360906315313e-89	-1	2182
EDN1	-1.4084879346897818	5.655071768114632	3.0969310555553564e-91	3.5602886791346314e-89	-1	1906
PRPF4B	0.9423413876441963	7.443344942723873	7.446868432896677e-90	8.496199893895755e-88	1	8899
NUCKS1	0.7200484957765714	10.352282386611412	1.2945179514751875e-88	1.465822582647844e-86	1	64710
NOTCH3	-1.0343991602742566	6.722577944917705	1.9138741219208386e-88	2.1509659907558082e-86	-1	4854
FOSL2	1.177373637628204	6.573612234329416	8.475843505406951e-87	9.455274310476199e-85	1	2355
PERP	-0.775408531867836	8.38609813750976	9.71509190830903e-87	1.0758035598465734e-84	-1	64065
GPRIN3	-0.9739636268513218	7.12989254629362	1.3102687391121674e-86	1.4403392124838863e-84	-1	285513
PREPL	-0.9492633726922376	7.027806333557646	2.1861840009230466e-86	2.385792105355151e-84	-1	9581
CCDC68	-2.4999371094224436	4.2824382115833	2.823229906233743e-86	3.0588375818618825e-84	-1	80323
CLDN1	0.9251269961909205	7.127870667936032	8.157292525106187e-86	8.774916102007084e-84	1	9076
NR2F2	-0.9833166190692257	6.93460609472366	1.0589448911935842e-85	1.1310432667642112e-83	-1	7026
GABARAPL1	-1.7561712502204132	4.980299470584438	4.5491334576581173e-85	4.824644357206425e-83	-1	23710
TP53	1.066157968311142	6.904658990974279	8.008857371756246e-85	8.434502938367069e-83	1	7157
HAS2	-1.2619249618035444	6.457370358551893	1.1617351437318384e-84	1.2149813378195475e-82	-1	3037
OGFRL1	1.3435721749003144	6.053647215458187	9.00838569775606e-84	9.35629576608319e-82	1	79627
ID1	-0.9634084700129134	7.152901277969796	1.0005437937415386e-83	1.0320677762840802e-81	-1	3397
AHNAK2	-1.2383649076225351	6.60520919019097	1.0763757564746488e-83	1.1027359790821913e-81	-1	113146
EEF1A2	0.8045859953782991	8.272190450666793	1.6103677840966066e-83	1.6386580289523578e-81	1	1917
FLNB	0.7475319748373995	9.020663748805314	5.092535502212909e-83	5.147220447203115e-81	1	2317
FDPS	-0.8732956055711425	7.377679862728144	8.183754405101965e-83	8.216489422722373e-81	-1	2224
PKP4	1.1315134825112296	6.606617889123479	1.1859963180478486e-82	1.1828546059470596e-80	1	8502
LGALS1	1.1692951740698354	6.607492181038937	2.562419540537745e-81	2.538818307927529e-79	1	3956
SIK1	-0.9000422532663158	7.428502413651327	2.866334311705983e-80	2.8213722048556935e-78	-1	150094
COL4A1	0.8691799492023717	7.767876860200662	4.201903537712714e-80	4.1091342388281475e-78	1	1282
TOB1	-1.156885173183033	6.273168406568377	6.322081808949325e-80	6.142616260824312e-78	-1	10140
ANXA3	1.3219232857358494	6.085948990073353	2.589522156379063e-79	2.4998848509659414e-77	1	306
FZD6	1.3904483198386202	5.75341109936283	3.4175690943779914e-79	3.2782541758810543e-77	1	8323
CDC42EP3	1.8999636134221345	5.173467936259486	5.293332553855115e-79	5.0454169785479766e-77	1	10602
H19	-2.723181887959261	3.537328810658501	1.4276536607947077e-78	1.3522304485263081e-76	-1	283120
SSFA2	-0.806976628980116	7.802294814731378	6.069874201394751e-78	5.713269092062809e-76	-1	NA
GLIS3	-0.9557554259812115	6.812834211392721	1.0223838182505918e-76	9.563416337176344e-75	-1	169792
ITGA3	1.0581622016031698	6.621770842929406	6.726160260561266e-76	6.252837871855103e-74	1	3675
SLC39A6	0.9730014826777034	6.823950977041505	1.6065835841067356e-75	1.4843649556225422e-73	1	25800
FJX1	1.9854598723767987	4.772557556455483	8.928386629562155e-75	8.198872112268662e-73	1	24147
XBP1	-0.8687093373408411	7.34262952853038	1.9091811965033787e-74	1.74256174662672e-72	-1	7494
ATL3	0.8034199947366772	7.74234293672947	2.5259777559930398e-74	2.291640060557541e-72	1	25923
CCND3	-0.9018364113789691	6.956747675294883	3.3359762221862878e-74	3.008371371624281e-72	-1	896
PMEPA1	0.9855295723303826	7.046705663490512	7.871732411472168e-74	7.056445840283979e-72	1	56937
SEMA3E	2.770456067937458	4.288095976002406	8.372721415568281e-74	7.461135178607002e-72	1	9723
ADD1	-1.0122862931054168	6.863257593990343	1.3816024598138645e-73	1.2239372379292235e-71	-1	118
TRMT6	1.4278243736176515	5.572096963702294	3.421817505845021e-73	3.013600680586317e-71	1	51605
PLS3	0.7023231909616755	9.245672147832037	9.451394428968175e-73	8.27546512210818e-71	1	5358
CFH	-1.9005712434815512	4.549581815519402	1.322922787080785e-72	1.151631050487666e-70	-1	3075
CTPS1	0.763517684679728	7.889264742380461	2.0863571666837993e-72	1.805778099440116e-70	1	1503
CD44	0.6683927586903334	9.263975193703402	2.0003562512466253e-71	1.721449436787096e-69	1	960
DEK	0.7511177429637762	8.308500629817235	2.051742129059218e-71	1.755638435433626e-69	1	7913
GLO1	0.8044725117760145	7.788697860516045	2.6128653106437353e-71	2.2231498066833138e-69	1	2739
ITGAV	-0.7343029834624876	8.254739653536125	4.1683373932129594e-71	3.5266944461678185e-69	-1	3685
NPR3	1.0366388658882686	6.422968497766211	7.515775437786987e-71	6.323328385087823e-69	1	4883
PRELID1	0.8348669681367433	7.3708386876107195	5.423320061296595e-70	4.537511117951484e-68	1	27166
CYP24A1	-0.6416650239148177	10.10056708587731	5.710455348224465e-70	4.75135124553925e-68	-1	1591
MTMR1	1.2838055476947934	5.969902446758869	1.3182626123490512e-69	1.0908260957130061e-67	1	8776
SCARA3	-1.0993934320233032	6.029889349523312	1.9372783380254763e-69	1.5942847962111298e-67	-1	51435
ZFAND5	-0.748999975678838	7.715233559147769	2.3450316562497226e-68	1.919357431691349e-66	-1	7763
SIK2	-1.0904262998264989	6.097136455747935	2.915406483288723e-68	2.3732984669366577e-66	-1	23235
ANKRD1	0.9827579848181782	6.387150113624085	7.013698611213133e-68	5.678833391659666e-66	1	27063
WWTR1	0.7784253069921526	7.609330292659546	1.2781447999539165e-67	1.029350838893368e-65	1	25937
CPS1	-0.6371627171197465	9.693763167338087	5.662536666105905e-67	4.536053308061432e-65	-1	1373
SH3RF1	1.0838949339459938	6.315317075488386	6.360039357779275e-67	5.067840885087612e-65	1	57630
GALNT10	0.7437490279025378	8.045838864852481	2.3567984889795458e-66	1.8680729075806292e-64	1	55568
NRG1	0.8798691602458948	6.9596000465397285	1.1914702511274818e-65	9.394524597895222e-64	1	3084
TMEM167A	1.1274966812397613	6.176097110436951	1.8747634464161559e-65	1.4705175782826722e-63	1	153339
IFFO2	1.3708663334779092	5.452041601101817	2.1634796476360046e-65	1.6881867095024988e-63	1	126917
NR4A2	-2.7616811323663475	3.6019558512597385	2.178552308676536e-65	1.6911854519932285e-63	-1	4929
TSPAN14	0.7493091138976293	7.582184574227029	3.5740974877059424e-65	2.760302982812897e-63	1	81619
C5AR1	-3.03484841661452	3.3274430483904793	4.041536539119397e-65	3.1053847081192916e-63	-1	728
HEATR5A	-1.1301878457023946	6.010329717667588	7.755621404398622e-65	5.928916667525038e-63	-1	25938
KRT8	-0.6132156990472621	11.188816724535256	8.571364473429661e-65	6.519431766154076e-63	-1	3856
AKR1B10	0.6132010813679022	10.622253898161976	2.0812292940349534e-64	1.5750408627219297e-62	1	57016
TDP2	-0.79320897191973	7.167643323622933	3.767953712845614e-64	2.8372691457727473e-62	-1	51567
CYR61	0.8123402825794838	7.131198236972619	4.033992884765508e-64	3.0224842211228134e-62	1	NA
CDC20	0.7646208824805731	7.663961917265674	5.648706846114172e-64	4.2113626288356145e-62	1	991
MRPL24	-1.225265098359473	5.910100734758214	6.862535241089159e-64	5.09112220348782e-62	-1	79590
CYP51A1	-0.6668120048341026	8.177568143746674	1.525748266507591e-63	1.1263612202747217e-61	-1	1595
MGST3	-0.934746893453049	6.606300483101999	6.207849710990474e-63	4.560498373049587e-61	-1	4259
CTGF	1.0071245289710202	6.2108697074660695	7.842239355131746e-63	5.73320993632447e-61	1	NA
C1QTNF1	-1.9043048810399217	4.388735512943137	1.6267977404726013e-60	1.1835542981409361e-58	-1	114897
TSC22D2	-0.8333588955651318	6.851503337547427	1.4105892814306581e-59	1.0213208931896978e-57	-1	9819
TXNDC12	1.2325531563304646	5.860501366655108	1.4327609028608593e-59	1.0324104878987819e-57	1	51060
SERPINE2	2.13590998567283	4.508070491303812	2.6963836284953313e-59	1.933692259292366e-57	1	5270
MTSS1L	0.8654704590440049	6.800257520595437	7.785791534754594e-59	5.557062583573659e-57	1	NA
GNAI1	-0.9125281719841477	6.497612932629677	1.4886553060060851e-58	1.057507023983568e-56	-1	2770
ABCA1	1.87265324312844	4.785471964203883	2.194224039604652e-58	1.5514091096923032e-56	1	19
LIMCH1	-0.6253088864999182	8.568314590402919	4.7263136283904396e-58	3.326088002035515e-56	-1	22998
MAVS	-0.6830668710315675	7.7460459156542445	5.150725142920418e-58	3.607903286157279e-56	-1	57506
KRT18	-0.5967998769527261	11.231688747916152	2.097135307758894e-57	1.46216933957634e-55	-1	3875
HEG1	1.3335938344928513	5.3302281937423315	1.3914746772343798e-56	9.656962506520627e-55	1	57493
ATP1B1	0.7020026233806365	7.533470143547377	4.563749701631262e-56	3.152755527824166e-54	1	481
MEGF9	-0.9410257152685185	6.497133308387836	5.36610010207926e-56	3.690112672936697e-54	-1	1955
AKR1B1	0.6292186234033198	8.5086571176902	6.68261912378916e-56	4.5745565456483974e-54	1	231
GREM2	-3.1118816578981363	3.001024867522975	1.1548130057042324e-55	7.86944971307952e-54	-1	64388
OAT	0.9352348397046366	6.493239462698974	1.5818755331902769e-55	1.0731101590020526e-53	1	4942
CCDC34	-1.029172837759109	5.901987496345359	1.6820332541861298e-55	1.1359381528270454e-53	-1	91057
CACNA1H	1.1208413557175183	5.801513171751698	2.0653622010274238e-55	1.3885872655121877e-53	1	8912
GRAMD1B	-1.2798203958473853	5.7158815816012964	2.4127292377081466e-55	1.6149201031059862e-53	-1	57476
SERINC5	-1.3692294206538	5.099210470622253	2.8529380791349935e-55	1.901117144768717e-53	-1	256987
STON2	-0.9607471221713926	6.152499134100442	1.403832252878811e-54	9.313530276808322e-53	-1	85439
VEGFC	-1.358918007399079	5.117457082370852	2.313135689609655e-54	1.527886994979009e-52	-1	7424
CYFIP2	1.3561817100978406	5.473116691329459	2.5823057154426006e-54	1.6982324923391077e-52	1	26999
PTP4A1	-0.581927161221982	10.178195844006973	3.016870403364859e-54	1.975394272811947e-52	-1	7803
FOXK2	0.8401586389477392	6.790633299360213	3.1247172427892684e-54	2.0371533193249515e-52	1	3607
KIF5B	0.5723681882507491	9.26919256355522	3.488984669178429e-54	2.2648322895615147e-52	1	3799
GJA1	-0.6049838177619266	8.49253139554134	6.952255795421625e-54	4.493603960474235e-52	-1	2697
ARSJ	1.2855970379895538	5.437243829073771	7.549024477264002e-54	4.8584747276750375e-52	1	79642
STK39	1.6562650036400295	4.824151626856626	4.0467101893020356e-53	2.5933385298250492e-51	1	27347
CAT	-0.7365711711888586	7.083235999202885	6.212336384389853e-53	3.9643129639369143e-51	-1	847
PDE4D	-0.6188955423903144	8.263162028290122	8.73289067887007e-53	5.525938387553919e-51	-1	5144
RAI14	0.6593714278691833	7.679471382319553	8.698452266267032e-53	5.525938387553919e-51	1	26064
LAMC1	0.5861652665855787	8.644537046198158	2.128045344496931e-52	1.3409356856955558e-50	1	3915
HPGD	1.9189593539293002	4.499465803592661	2.5691043065217537e-52	1.6121129523424004e-50	1	3248
ETS2	0.9485791156684541	6.86686106996577	3.108725682350252e-52	1.942631069551651e-50	1	2114
KDELR2	0.7090490556811088	7.4139888381141725	3.933844173279523e-52	2.448086497916926e-50	1	11014
KCNH1	3.7787870575825946	2.998765874461813	6.993426491516918e-52	4.334197652767275e-50	1	3756
KLRC2	-5.284982093231587	2.0256633404504325	1.1449626252700266e-51	7.066859482199426e-50	-1	3822
SQLE	-0.6147602585811858	8.04435452962936	1.663270102848083e-51	1.0224019489343726e-49	-1	6713
TGFBR2	-0.7657512579738712	6.894777887896658	1.685241048396918e-51	1.0316963491405522e-49	-1	7048
BAMBI	-1.6205786161487412	4.388546960307764	2.4023001807462802e-51	1.464722296438825e-49	-1	25805
MYBL1	1.2642310899823725	5.698980109994576	3.673314939723906e-51	2.2306501206549206e-49	1	4603
GREB1L	-2.037206202195131	3.820257855495624	4.6147482955298885e-51	2.7910887281397638e-49	-1	80000
SLCO2B1	-2.0573078569800636	3.727322809955929	5.915793574498546e-51	3.563674049277924e-49	-1	11309
KIAA1549L	1.8042073002678545	4.684679579479763	7.1410506127697e-51	4.2846303676618196e-49	1	25758
PTK2	0.6784764426488388	7.486623594687028	1.823432184029235e-50	1.0897178052174714e-48	1	5747
AIM1	1.5748658871810484	5.1353672889628745	1.9159378494496885e-50	1.1404752574194588e-48	1	NA
CYP4F11	-0.8019915284715344	6.505365129819114	4.714466534613529e-50	2.795270315404714e-48	-1	57834
SGMS1	-0.97638733301915	6.167422029276651	6.530638841270095e-50	3.856918468608927e-48	-1	259230
SYNE1	1.168611546661	5.483036201746535	8.802266736068888e-50	5.178208478328025e-48	1	23345
JADE2	1.0303179011294847	6.073384388335324	1.0714351999289448e-49	6.278526891412416e-48	1	23338
CTH	-2.4877248571488906	3.2406739050399973	2.364983208335324e-49	1.3804901983538754e-47	-1	1491
DBN1	0.7352129246032251	7.0635305800731985	4.3647966429447624e-49	2.5379860016505065e-47	1	1627
TNPO1	-0.5627627704581942	8.62475679827811	5.6133688661045916e-49	3.2514359662898134e-47	-1	3842
TM4SF1	-0.5989041002152461	8.400377220774605	7.001848069544704e-49	4.040146817139588e-47	-1	4071
IGFBP4	-0.5627544988228355	9.222961242250319	3.68060397055912e-48	2.1156448777336012e-46	-1	3487
NCOA3	-0.6211287868629767	7.62837748973497	4.6477878988836957e-48	2.661432918524276e-46	-1	8202
NAV3	1.4805214634845985	4.7377003524438726	7.606128235997325e-48	4.338950425534838e-46	1	89795
COL6A2	1.6723506762256966	4.394133629485778	8.193409455406521e-48	4.65633005277065e-46	1	1292
VIM	0.5301761087542826	10.061851745012454	1.088295139665283e-47	6.1615506779545724e-46	1	7431
ST6GAL2	4.7236791070385555	3.5798058859379656	1.2388276364328792e-47	6.987544645947251e-46	1	84620
EPB41L4B	1.3625608872286876	5.004336365329487	1.5077736252060584e-47	8.472787610299716e-46	1	54566
ABCA3	1.0180397540550634	5.990560573384269	2.4619010485762276e-47	1.3782985052623787e-45	1	21
CCDC80	1.7544204716512892	4.8914627961465	8.656531105973184e-47	4.828420683553932e-45	1	151887
FAM222B	-1.1629788009097712	5.320198429227884	9.60504554036004e-47	5.3377116545321847e-45	-1	55731
SAMD11	-1.0877397719720474	5.635768529287143	1.4665326233724495e-46	8.119846069113636e-45	-1	148398
