GO_ID	Group	Description	FDR	Enrichment
GO:0046907	prmt5_down	intracellular transport	2.03e-5	1.28
GO:0006082	prmt5_down	organic acid metabolic process	2.1e-5	1.39
GO:0006413	prmt5_down	translational initiation	2.34e-5	2.01
GO:1901575	prmt5_down	organic substance catabolic process	3.52e-5	1.27
GO:0019217	prmt5_down	regulation of fatty acid metabolic process	3.79e-5	2.4
GO:0019218	prmt5_down	regulation of steroid metabolic process	3.9e-5	2.2
GO:0043043	prmt5_down	peptide biosynthetic process	5.25e-5	1.78
GO:0044242	prmt5_down	cellular lipid catabolic process	5.32e-5	1.89
GO:0045540	prmt5_down	regulation of cholesterol biosynthetic process	5.46e-5	2.85
GO:0106118	prmt5_down	regulation of sterol biosynthetic process	5.38e-5	2.85
GO:0045055	prmt5_down	regulated exocytosis	5.8e-5	1.47
GO:1901698	prmt5_down	response to nitrogen compound	6.85e-5	1.4
GO:0065008	prmt5_down	regulation of biological quality	7e-5	1.18
GO:0006887	prmt5_down	exocytosis	9.53e-5	1.43
GO:0010243	prmt5_down	response to organonitrogen compound	1.06e-4	1.41
GO:0055114	prmt5_down	oxidation-reduction process	1.71e-4	1.56
GO:0008104	prmt5_down	protein localization	2.26e-4	1.22
GO:0009058	prmt5_down	biosynthetic process	2.28e-4	1.2
GO:0006732	prmt5_down	coenzyme metabolic process	2.42e-4	1.62
GO:0043604	prmt5_down	amide biosynthetic process	2.42e-4	1.57
GO:0033036	prmt5_down	macromolecule localization	2.6e-4	1.22
GO:0042304	prmt5_down	regulation of fatty acid biosynthetic process	2.61e-4	2.94
GO:0008654	prmt5_down	phospholipid biosynthetic process	2.68e-4	1.68
GO:0045923	prmt5_down	positive regulation of fatty acid metabolic process	2.76e-4	3.38
GO:0042221	prmt5_down	response to chemical	2.87e-4	1.2
GO:0051649	prmt5_down	establishment of localization in cell	3.7e-4	1.23
GO:1901576	prmt5_down	organic substance biosynthetic process	3.89e-4	1.2
GO:0048193	prmt5_down	Golgi vesicle transport	4.89e-4	1.54
GO:1902930	prmt5_down	regulation of alcohol biosynthetic process	9.74e-4	2.31
GO:0006644	prmt5_down	phospholipid metabolic process	0.00102	1.52
GO:1901566	prmt5_down	organonitrogen compound biosynthetic process	0.00101	1.32
GO:0090407	prmt5_down	organophosphate biosynthetic process	0.0011	1.42
GO:0019538	prmt5_down	protein metabolic process	0.00113	1.14
GO:0006412	prmt5_down	translation	0.00126	1.69
GO:0007584	prmt5_down	response to nutrient	0.00126	1.81
GO:0046486	prmt5_down	glycerolipid metabolic process	0.00128	1.52
GO:0062012	prmt5_down	regulation of small molecule metabolic process	0.00133	1.47
GO:0044283	prmt5_down	small molecule biosynthetic process	0.00136	1.41
GO:1901617	prmt5_down	organic hydroxy compound biosynthetic process	0.00146	1.84
GO:0001101	prmt5_down	response to acid chemical	0.00176	1.58
GO:0055092	prmt5_down	sterol homeostasis	0.00212	2.29
GO:0072594	prmt5_down	establishment of protein localization to organelle	0.00243	1.45
GO:0010565	prmt5_down	regulation of cellular ketone metabolic process	0.00266	1.74
GO:0019637	prmt5_down	organophosphate metabolic process	0.00268	1.3
GO:0006465	prmt5_down	signal peptide processing	0.00303	4.05
GO:0062013	prmt5_down	positive regulation of small molecule metabolic process	0.00375	1.91
GO:0019395	prmt5_down	fatty acid oxidation	0.00418	2.08
GO:0044249	prmt5_down	cellular biosynthetic process	0.00435	1.17
GO:0042632	prmt5_down	cholesterol homeostasis	0.00455	2.24
GO:0051051	prmt5_down	negative regulation of transport	0.00474	1.48
GO:1905953	prmt5_down	negative regulation of lipid localization	0.00508	2.63
GO:0034440	prmt5_down	lipid oxidation	0.00549	2.05
GO:0010033	prmt5_down	response to organic substance	0.00582	1.2
GO:0072657	prmt5_down	protein localization to membrane	0.00594	1.39
GO:0034754	prmt5_down	cellular hormone metabolic process	0.00729	2.02
GO:0032368	prmt5_down	regulation of lipid transport	0.00759	1.97
GO:0043312	prmt5_down	neutrophil degranulation	0.00801	1.42
GO:0007031	prmt5_down	peroxisome organization	0.00799	2.04
GO:1903008	prmt5_down	organelle disassembly	0.00792	2.04
GO:1901568	prmt5_down	fatty acid derivative metabolic process	0.00817	1.78
GO:0002283	prmt5_down	neutrophil activation involved in immune response	0.00871	1.42
GO:0043299	prmt5_down	leukocyte degranulation	0.00935	1.41
GO:0030968	prmt5_down	endoplasmic reticulum unfolded protein response	0.00931	1.86
GO:0002376	prmt5_down	immune system process	0.0101	1.2
GO:0097305	prmt5_down	response to alcohol	0.0101	1.67
GO:1990748	prmt5_down	cellular detoxification	0.0101	2.01
GO:0042119	prmt5_down	neutrophil activation	0.0103	1.41
GO:0098869	prmt5_down	cellular oxidant detoxification	0.0103	2.1
GO:1901264	prmt5_down	carbohydrate derivative transport	0.0102	2.1
GO:0098754	prmt5_down	detoxification	0.0102	1.95
GO:0045017	prmt5_down	glycerolipid biosynthetic process	0.0109	1.57
GO:1905952	prmt5_down	regulation of lipid localization	0.0116	1.79
GO:0001775	prmt5_down	cell activation	0.0116	1.29
GO:0036230	prmt5_down	granulocyte activation	0.0122	1.4
GO:0042493	prmt5_down	response to drug	0.013	1.33
GO:0006123	prmt5_down	mitochondrial electron transport, cytochrome c to oxygen	0.0137	3.3
GO:0019646	prmt5_down	aerobic electron transport chain	0.0136	3.3
GO:0055076	prmt5_down	transition metal ion homeostasis	0.0136	1.82
GO:0034976	prmt5_down	response to endoplasmic reticulum stress	0.0146	1.51
GO:0002275	prmt5_down	myeloid cell activation involved in immune response	0.0157	1.39
GO:0030301	prmt5_down	cholesterol transport	0.0156	2.29
GO:0006633	prmt5_down	fatty acid biosynthetic process	0.0159	1.86
GO:0046165	prmt5_down	alcohol biosynthetic process	0.0157	1.86
GO:0006805	prmt5_down	xenobiotic metabolic process	0.0159	1.9
GO:0009057	prmt5_down	macromolecule catabolic process	0.0162	1.24
GO:0014070	prmt5_down	response to organic cyclic compound	0.0162	1.33
GO:1901135	prmt5_down	carbohydrate derivative metabolic process	0.0162	1.27
GO:0055088	prmt5_down	lipid homeostasis	0.0162	1.76
GO:1901700	prmt5_down	response to oxygen-containing compound	0.0167	1.23
GO:0016236	prmt5_down	macroautophagy	0.017	1.74
GO:0032892	prmt5_down	positive regulation of organic acid transport	0.0173	3.03
GO:0010885	prmt5_down	regulation of cholesterol storage	0.0178	3.43
GO:0016485	prmt5_down	protein processing	0.0177	1.72
GO:0042445	prmt5_down	hormone metabolic process	0.0176	1.72
GO:0045321	prmt5_down	leukocyte activation	0.018	1.29
GO:0006508	prmt5_down	proteolysis	0.0182	1.23
GO:0009719	prmt5_down	response to endogenous stimulus	0.0192	1.26
GO:0006914	prmt5_down	autophagy	0.0197	1.49
GO:0061919	prmt5_down	process utilizing autophagic mechanism	0.0196	1.49
GO:0015918	prmt5_down	sterol transport	0.0195	2.07
GO:0006641	prmt5_down	triglyceride metabolic process	0.0201	2.24
GO:0006091	prmt5_down	generation of precursor metabolites and energy	0.0213	1.43
GO:0002181	prmt5_down	cytoplasmic translation	0.0212	2.29
GO:0046394	prmt5_down	carboxylic acid biosynthetic process	0.0217	1.48
GO:0030855	prmt5_down	epithelial cell differentiation	0.0222	1.52
GO:0006650	prmt5_down	glycerophospholipid metabolic process	0.0221	1.44
GO:0072376	prmt5_down	protein activation cascade	0.0227	2.4
GO:0045723	prmt5_down	positive regulation of fatty acid biosynthetic process	0.0226	3.6
GO:0006888	prmt5_down	ER to Golgi vesicle-mediated transport	0.0237	1.58
GO:0016053	prmt5_down	organic acid biosynthetic process	0.024	1.48
GO:0002263	prmt5_down	cell activation involved in immune response	0.0238	1.34
GO:0009991	prmt5_down	response to extracellular stimulus	0.0242	1.38
GO:0002366	prmt5_down	leukocyte activation involved in immune response	0.0242	1.34
GO:0002252	prmt5_down	immune effector process	0.0243	1.27
GO:0051641	prmt5_down	cellular localization	0.0242	1.15
GO:0005996	prmt5_down	monosaccharide metabolic process	0.0251	1.61
GO:1905954	prmt5_down	positive regulation of lipid localization	0.0253	1.97
GO:0072330	prmt5_down	monocarboxylic acid biosynthetic process	0.0258	1.59
GO:0006635	prmt5_down	fatty acid beta-oxidation	0.0269	2.06
GO:0017144	prmt5_down	drug metabolic process	0.0271	1.34
GO:0009725	prmt5_down	response to hormone	0.027	1.32
GO:0000956	prmt5_down	nuclear-transcribed mRNA catabolic process	0.0269	1.53
GO:0006869	prmt5_down	lipid transport	0.0269	1.51
GO:0010887	prmt5_down	negative regulation of cholesterol storage	0.0272	3.85
GO:1904950	prmt5_down	negative regulation of establishment of protein localization	0.0273	1.78
GO:0002576	prmt5_down	platelet degranulation	0.0271	1.78
GO:0033559	prmt5_down	unsaturated fatty acid metabolic process	0.0273	1.87
GO:0010038	prmt5_down	response to metal ion	0.0286	1.47
GO:0006661	prmt5_down	phosphatidylinositol biosynthetic process	0.0287	1.75
GO:0006811	prmt5_down	ion transport	0.0295	1.24
GO:0046474	prmt5_down	glycerophospholipid biosynthetic process	0.0298	1.53
GO:0051047	prmt5_down	positive regulation of secretion	0.0297	1.51
GO:0050818	prmt5_down	regulation of coagulation	0.03	2
GO:1901361	prmt5_down	organic cyclic compound catabolic process	0.0305	1.33
GO:0055072	prmt5_down	iron ion homeostasis	0.0304	1.93
GO:1903573	prmt5_down	negative regulation of response to endoplasmic reticulum stress	0.0306	2.11
GO:2001171	prmt5_down	positive regulation of ATP biosynthetic process	0.0306	2.58
GO:0051046	prmt5_down	regulation of secretion	0.0329	1.34
GO:0043574	prmt5_down	peroxisomal transport	0.0341	1.95
GO:0009062	prmt5_down	fatty acid catabolic process	0.0341	1.79
GO:0010817	prmt5_down	regulation of hormone levels	0.0359	1.38
GO:0031667	prmt5_down	response to nutrient levels	0.0357	1.38
GO:0006637	prmt5_down	acyl-CoA metabolic process	0.0358	1.82
GO:0035383	prmt5_down	thioester metabolic process	0.0356	1.82
GO:0036498	prmt5_down	IRE1-mediated unfolded protein response	0.0361	2.04
GO:0070887	prmt5_down	cellular response to chemical stimulus	0.0374	1.19
GO:0000041	prmt5_down	transition metal ion transport	0.0383	1.79
GO:0010888	prmt5_down	negative regulation of lipid storage	0.0382	2.91
GO:0032890	prmt5_down	regulation of organic acid transport	0.0383	2.22
GO:0048878	prmt5_down	chemical homeostasis	0.04	1.25
GO:0008643	prmt5_down	carbohydrate transport	0.0419	1.98
GO:0034032	prmt5_down	purine nucleoside bisphosphate metabolic process	0.0434	1.68
GO:0033865	prmt5_down	nucleoside bisphosphate metabolic process	0.0432	1.68
GO:0033875	prmt5_down	ribonucleoside bisphosphate metabolic process	0.043	1.68
GO:0046321	prmt5_down	positive regulation of fatty acid oxidation	0.043	3.3
GO:0015908	prmt5_down	fatty acid transport	0.0432	2.09
GO:0002274	prmt5_down	myeloid leukocyte activation	0.0433	1.32
GO:0046320	prmt5_down	regulation of fatty acid oxidation	0.045	2.48
GO:1905897	prmt5_down	regulation of response to endoplasmic reticulum stress	0.0455	1.77
GO:0006402	prmt5_down	mRNA catabolic process	0.0456	1.48
GO:0051188	prmt5_down	cofactor biosynthetic process	0.046	1.49
GO:0019318	prmt5_down	hexose metabolic process	0.0476	1.62
GO:0008152	prmt5_down	metabolic process	0.0474	1.06
GO:0051224	prmt5_down	negative regulation of protein transport	0.0476	1.74
GO:0044282	prmt5_down	small molecule catabolic process	0.0476	1.36
GO:0072329	prmt5_down	monocarboxylic acid catabolic process	0.0475	1.68
GO:0006690	prmt5_down	icosanoid metabolic process	0.0498	1.84
GO:0019439	prmt5_down	aromatic compound catabolic process	0.0541	1.32
GO:0060706	prmt5_down	cell differentiation involved in embryonic placenta development	0.0547	2.97
GO:0050896	prmt5_down	response to stimulus	0.0567	1.09
GO:0006625	prmt5_down	protein targeting to peroxisome	0.0585	1.9
GO:0072663	prmt5_down	establishment of protein localization to peroxisome	0.0582	1.9
GO:0072662	prmt5_down	protein localization to peroxisome	0.058	1.9
GO:0030258	prmt5_down	lipid modification	0.0583	1.48
GO:1903580	prmt5_down	positive regulation of ATP metabolic process	0.0582	2.25
GO:0006401	prmt5_down	RNA catabolic process	0.0594	1.44
GO:0045600	prmt5_down	positive regulation of fat cell differentiation	0.0612	2.07
GO:0006956	prmt5_down	complement activation	0.0612	2.75
GO:0015850	prmt5_down	organic hydroxy compound transport	0.0613	1.68
GO:0045834	prmt5_down	positive regulation of lipid metabolic process	0.061	1.68
GO:0050794	prmt5_up	regulation of cellular process	6.91e-15	1.13
GO:0071840	prmt5_up	cellular component organization or biogenesis	1.02e-12	1.2
GO:0050789	prmt5_up	regulation of biological process	3.8e-12	1.11
GO:0016043	prmt5_up	cellular component organization	3.1e-12	1.2
GO:0048518	prmt5_up	positive regulation of biological process	3.16e-12	1.19
GO:0051128	prmt5_up	regulation of cellular component organization	8.06e-12	1.32
GO:0048522	prmt5_up	positive regulation of cellular process	1.94e-11	1.2
GO:0065007	prmt5_up	biological regulation	5.25e-11	1.09
GO:1903047	prmt5_up	mitotic cell cycle process	7.3e-11	1.63
GO:0032502	prmt5_up	developmental process	3.2e-10	1.21
GO:0050793	prmt5_up	regulation of developmental process	8.57e-10	1.3
GO:0000375	prmt5_up	RNA splicing, via transesterification reactions	5.23e-9	1.9
GO:0051239	prmt5_up	regulation of multicellular organismal process	1.15e-8	1.26
GO:0000377	prmt5_up	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	1.88e-8	1.88
GO:0000398	prmt5_up	mRNA splicing, via spliceosome	1.76e-8	1.88
GO:0009893	prmt5_up	positive regulation of metabolic process	1.9e-8	1.22
GO:0008380	prmt5_up	RNA splicing	1.91e-8	1.73
GO:0010604	prmt5_up	positive regulation of macromolecule metabolic process	3.11e-8	1.23
GO:0009987	prmt5_up	cellular process	3.43e-8	1.06
GO:0022402	prmt5_up	cell cycle process	7.13e-8	1.42
GO:0006397	prmt5_up	mRNA processing	7.65e-8	1.65
GO:0051130	prmt5_up	positive regulation of cellular component organization	8.54e-8	1.39
GO:2000026	prmt5_up	regulation of multicellular organismal development	8.93e-8	1.31
GO:0048523	prmt5_up	negative regulation of cellular process	8.96e-8	1.18
GO:0045595	prmt5_up	regulation of cell differentiation	1.25e-7	1.33
GO:0051493	prmt5_up	regulation of cytoskeleton organization	2.49e-7	1.59
GO:0031325	prmt5_up	positive regulation of cellular metabolic process	2.61e-7	1.22
GO:0007167	prmt5_up	enzyme linked receptor protein signaling pathway	3.33e-7	1.53
GO:0051276	prmt5_up	chromosome organization	3.93e-7	1.65
GO:0051173	prmt5_up	positive regulation of nitrogen compound metabolic process	3.8e-7	1.22
GO:0048869	prmt5_up	cellular developmental process	3.95e-7	1.26
GO:0051236	prmt5_up	establishment of RNA localization	3.98e-7	1.96
GO:0050658	prmt5_up	RNA transport	5.75e-7	1.96
GO:0050657	prmt5_up	nucleic acid transport	5.58e-7	1.96
GO:0033043	prmt5_up	regulation of organelle organization	5.57e-7	1.35
GO:0051169	prmt5_up	nuclear transport	5.47e-7	1.82
GO:0006405	prmt5_up	RNA export from nucleus	9.45e-7	2.13
GO:0007155	prmt5_up	cell adhesion	1.07e-6	1.5
GO:0022610	prmt5_up	biological adhesion	2.19e-6	1.48
GO:0048519	prmt5_up	negative regulation of biological process	2.17e-6	1.15
GO:0006913	prmt5_up	nucleocytoplasmic transport	3.02e-6	1.78
GO:0051168	prmt5_up	nuclear export	3.58e-6	1.97
GO:0007165	prmt5_up	signal transduction	4.66e-6	1.18
GO:0048856	prmt5_up	anatomical structure development	4.64e-6	1.21
GO:0031323	prmt5_up	regulation of cellular metabolic process	6.85e-6	1.12
GO:0060284	prmt5_up	regulation of cell development	8.9e-6	1.41
GO:0007169	prmt5_up	transmembrane receptor protein tyrosine kinase signaling pathway	9.99e-6	1.56
GO:0080090	prmt5_up	regulation of primary metabolic process	1.11e-5	1.13
GO:0016477	prmt5_up	cell migration	1.41e-5	1.45
GO:0032970	prmt5_up	regulation of actin filament-based process	1.42e-5	1.63
GO:0051171	prmt5_up	regulation of nitrogen compound metabolic process	1.46e-5	1.13
GO:0032956	prmt5_up	regulation of actin cytoskeleton organization	1.51e-5	1.66
GO:0030154	prmt5_up	cell differentiation	2.71e-5	1.28
GO:0044089	prmt5_up	positive regulation of cellular component biogenesis	3.15e-5	1.51
GO:0051301	prmt5_up	cell division	3.41e-5	1.55
GO:0006406	prmt5_up	mRNA export from nucleus	4.02e-5	2.09
GO:0044087	prmt5_up	regulation of cellular component biogenesis	4.19e-5	1.36
GO:0010628	prmt5_up	positive regulation of gene expression	4.63e-5	1.24
GO:0045597	prmt5_up	positive regulation of cell differentiation	5.26e-5	1.38
GO:0051960	prmt5_up	regulation of nervous system development	5.67e-5	1.39
GO:0050767	prmt5_up	regulation of neurogenesis	6.07e-5	1.41
GO:0097435	prmt5_up	supramolecular fiber organization	8.64e-5	1.55
GO:0034330	prmt5_up	cell junction organization	8.78e-5	1.78
GO:0019222	prmt5_up	regulation of metabolic process	8.69e-5	1.11
GO:0032879	prmt5_up	regulation of localization	8.77e-5	1.21
GO:0060255	prmt5_up	regulation of macromolecule metabolic process	1.05e-4	1.11
GO:0007166	prmt5_up	cell surface receptor signaling pathway	1.05e-4	1.24
GO:0045664	prmt5_up	regulation of neuron differentiation	1.18e-4	1.44
GO:1902850	prmt5_up	microtubule cytoskeleton organization involved in mitosis	1.23e-4	2.01
GO:0048870	prmt5_up	cell motility	1.46e-4	1.38
GO:0051726	prmt5_up	regulation of cell cycle	1.49e-4	1.29
GO:0051028	prmt5_up	mRNA transport	1.51e-4	1.87
GO:0010562	prmt5_up	positive regulation of phosphorus metabolic process	1.56e-4	1.34
GO:0045937	prmt5_up	positive regulation of phosphate metabolic process	1.54e-4	1.34
GO:0007010	prmt5_up	cytoskeleton organization	1.54e-4	1.35
GO:0051094	prmt5_up	positive regulation of developmental process	1.81e-4	1.3
GO:0032270	prmt5_up	positive regulation of cellular protein metabolic process	1.81e-4	1.26
GO:0015931	prmt5_up	nucleobase-containing compound transport	2.01e-4	1.67
GO:0010557	prmt5_up	positive regulation of macromolecule biosynthetic process	2.32e-4	1.23
GO:0051983	prmt5_up	regulation of chromosome segregation	2.38e-4	1.99
GO:0009653	prmt5_up	anatomical structure morphogenesis	2.45e-4	1.29
GO:2000113	prmt5_up	negative regulation of cellular macromolecule biosynthetic process	2.43e-4	1.26
GO:0051172	prmt5_up	negative regulation of nitrogen compound metabolic process	2.41e-4	1.2
GO:0032268	prmt5_up	regulation of cellular protein metabolic process	2.39e-4	1.19
GO:0031327	prmt5_up	negative regulation of cellular biosynthetic process	2.49e-4	1.25
GO:0009891	prmt5_up	positive regulation of biosynthetic process	2.5e-4	1.22
GO:0010558	prmt5_up	negative regulation of macromolecule biosynthetic process	2.85e-4	1.25
GO:0042327	prmt5_up	positive regulation of phosphorylation	2.86e-4	1.34
GO:0048583	prmt5_up	regulation of response to stimulus	2.94e-4	1.15
GO:0040011	prmt5_up	locomotion	2.96e-4	1.35
GO:0044772	prmt5_up	mitotic cell cycle phase transition	3.04e-4	1.62
GO:0031328	prmt5_up	positive regulation of cellular biosynthetic process	3.15e-4	1.22
GO:0051253	prmt5_up	negative regulation of RNA metabolic process	3.13e-4	1.27
GO:0045935	prmt5_up	positive regulation of nucleobase-containing compound metabolic process	3.31e-4	1.22
GO:0034329	prmt5_up	cell junction assembly	3.57e-4	1.84
GO:0008150	prmt5_up	biological_process	3.59e-4	1.02
GO:0110053	prmt5_up	regulation of actin filament organization	3.6e-4	1.64
GO:0051492	prmt5_up	regulation of stress fiber assembly	4.05e-4	2.16
GO:0010468	prmt5_up	regulation of gene expression	4.19e-4	1.13
GO:0048729	prmt5_up	tissue morphogenesis	4.38e-4	1.59
GO:0051252	prmt5_up	regulation of RNA metabolic process	4.58e-4	1.15
GO:0051336	prmt5_up	regulation of hydrolase activity	4.83e-4	1.29
GO:0065009	prmt5_up	regulation of molecular function	4.96e-4	1.17
GO:0030334	prmt5_up	regulation of cell migration	5.5e-4	1.35
GO:0050790	prmt5_up	regulation of catalytic activity	5.53e-4	1.19
GO:0051254	prmt5_up	positive regulation of RNA metabolic process	5.62e-4	1.23
GO:0009890	prmt5_up	negative regulation of biosynthetic process	6.04e-4	1.24
GO:0031344	prmt5_up	regulation of cell projection organization	6.04e-4	1.38
GO:0019219	prmt5_up	regulation of nucleobase-containing compound metabolic process	6.21e-4	1.14
GO:0048584	prmt5_up	positive regulation of response to stimulus	7.49e-4	1.21
GO:0051495	prmt5_up	positive regulation of cytoskeleton organization	7.62e-4	1.72
GO:0031324	prmt5_up	negative regulation of cellular metabolic process	7.97e-4	1.18
GO:0051247	prmt5_up	positive regulation of protein metabolic process	8.08e-4	1.23
GO:2000145	prmt5_up	regulation of cell motility	8.12e-4	1.33
GO:0044770	prmt5_up	cell cycle phase transition	8.45e-4	1.57
GO:0022618	prmt5_up	ribonucleoprotein complex assembly	8.42e-4	1.61
GO:0022607	prmt5_up	cellular component assembly	8.82e-4	1.19
GO:0006325	prmt5_up	chromatin organization	9.1e-4	1.34
GO:0051246	prmt5_up	regulation of protein metabolic process	9.39e-4	1.17
GO:0007049	prmt5_up	cell cycle	0.00111	1.44
GO:0045934	prmt5_up	negative regulation of nucleobase-containing compound metabolic process	0.00112	1.23
GO:0032231	prmt5_up	regulation of actin filament bundle assembly	0.00113	2.01
GO:0019220	prmt5_up	regulation of phosphate metabolic process	0.00117	1.22
GO:0051174	prmt5_up	regulation of phosphorus metabolic process	0.00117	1.22
GO:0120035	prmt5_up	regulation of plasma membrane bounded cell projection organization	0.00119	1.37
GO:0016071	prmt5_up	mRNA metabolic process	0.00119	1.34
GO:0000278	prmt5_up	mitotic cell cycle	0.0012	1.81
GO:0040012	prmt5_up	regulation of locomotion	0.00119	1.31
GO:0070887	prmt5_up	cellular response to chemical stimulus	0.00122	1.23
GO:0032989	prmt5_up	cellular component morphogenesis	0.00121	1.48
GO:0090066	prmt5_up	regulation of anatomical structure size	0.00121	1.51
GO:2000147	prmt5_up	positive regulation of cell motility	0.00131	1.43
GO:0043933	prmt5_up	protein-containing complex subunit organization	0.00136	1.22
GO:0031326	prmt5_up	regulation of cellular biosynthetic process	0.00144	1.13
GO:0042221	prmt5_up	response to chemical	0.00148	1.18
GO:0035556	prmt5_up	intracellular signal transduction	0.00147	1.23
GO:0001934	prmt5_up	positive regulation of protein phosphorylation	0.00163	1.31
GO:0006928	prmt5_up	movement of cell or subcellular component	0.00166	1.26
GO:0031401	prmt5_up	positive regulation of protein modification process	0.00169	1.27
GO:0065008	prmt5_up	regulation of biological quality	0.0017	1.14
GO:0045892	prmt5_up	negative regulation of transcription, DNA-templated	0.00176	1.25
GO:0042325	prmt5_up	regulation of phosphorylation	0.00176	1.23
GO:0051240	prmt5_up	positive regulation of multicellular organismal process	0.00174	1.23
GO:0031334	prmt5_up	positive regulation of protein complex assembly	0.00173	1.57
GO:0071826	prmt5_up	ribonucleoprotein complex subunit organization	0.00179	1.56
GO:0010033	prmt5_up	response to organic substance	0.0018	1.2
GO:1902680	prmt5_up	positive regulation of RNA biosynthetic process	0.00187	1.22
GO:0044093	prmt5_up	positive regulation of molecular function	0.00187	1.21
GO:1902679	prmt5_up	negative regulation of RNA biosynthetic process	0.00194	1.25
GO:1903507	prmt5_up	negative regulation of nucleic acid-templated transcription	0.00193	1.25
GO:0031124	prmt5_up	mRNA 3'-end processing	0.00205	1.99
GO:0110020	prmt5_up	regulation of actomyosin structure organization	0.00204	1.99
GO:1902905	prmt5_up	positive regulation of supramolecular fiber organization	0.00203	1.7
GO:0034333	prmt5_up	adherens junction assembly	0.0021	2.6
GO:0030335	prmt5_up	positive regulation of cell migration	0.00212	1.42
GO:0022603	prmt5_up	regulation of anatomical structure morphogenesis	0.00216	1.28
GO:0045893	prmt5_up	positive regulation of transcription, DNA-templated	0.00221	1.22
GO:1903508	prmt5_up	positive regulation of nucleic acid-templated transcription	0.0022	1.22
GO:0051270	prmt5_up	regulation of cellular component movement	0.00219	1.29
GO:2000112	prmt5_up	regulation of cellular macromolecule biosynthetic process	0.00219	1.13
